Qty,Value,Device,Package,Parts,Description,PARTNO,POPULARITY,SPICEPREFIX,Column1
1,,NUCLEO-L452RE,NUCLEO-64,M1,No existe un outline (Layer Dimension) para esta librería. En su lugar se utilizó una referencia en tDocu.,NUCLEO-L452RE,,,
1,,PINHD-2X4,2X04,JP2,PIN HEADER,220-1-08-003 ,47,,
1,0.1 uF,C-USC0805,C0805,C1,"CAPACITOR, American symbol",GCM21BR72A104KA37L,63,C,
1,10 uF ,C-USC0805,C0805,C2,"CAPACITOR, American symbol",GRM21BR61C106KE15L,63,C,
1,100 nF,C-USC0805,C0805,C4,"CAPACITOR, American symbol",GCM21BR72A104KA37L,63,C,
1,100 uF,C-USC0805,C0805,C3,"CAPACITOR, American symbol",GRM21BR60J107ME15L,63,C,
1,10K,P160KN,P160KN-0QD15B10K,POT1,,P160KN-0QD15B10K,,,
1,10K,R-US_R0805,R0805,R2,"RESISTOR, American symbol",RC0805FR-0710KL,85,R,
1,56R,R-US_R0805,R0805,R1,"RESISTOR, American symbol",RC0805JR-0756RL,85,R,
1,ESP-WROOM-32,ESP-WROOM-32,ESP-WROOM-32,ESP-WROOM-32,,ESP-WROOM-32,,,
2,TP,TP,TP,"TP_LED, TP_POT",,,,,
1,XZM2CRK55W-3RT,XZM2CRK55W-3RT,CHIPLED,LED1,,XZM2CRK55W-3RT,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
