Part,Value,Device,Package,Description,POPULARITY,SPICEPREFIX,Column1
C1,100n,C-USC0603,C0603,"CAPACITOR, American symbol",37,C,
C2,10u,C-USC0805,C0805,"CAPACITOR, American symbol",63,C,
C3,10n,C-USC0201,C0201,"CAPACITOR, American symbol",3,C,
C4,10n,C-USC0201,C0201,"CAPACITOR, American symbol",3,C,
C5,100n,C-USC0603,C0603,"CAPACITOR, American symbol",37,C,
R1,10k,R-US_R0805,R0805,"RESISTOR, American symbol",85,R,
R2,22k,R-US_R0805,R0805,"RESISTOR, American symbol",85,R,
R3,22k,R-US_R0805,R0805,"RESISTOR, American symbol",85,R,
U$1,L9958L9958,L9958L9958,L9958,,,,
U$2,PINHEADER,PINHEADER,PINHEADER,,,,
U$3,PINHEADER,PINHEADER,PINHEADER,,,,
X1,"MKDSN1,5/2-5,08","MKDSN1,5/2-5,08","MKDSN1,5/2-5,08","MKDSN 1,5/ 2-5,08 Printklemme",14,,
X2,"MKDSN1,5/3-5,08","MKDSN1,5/3-5,08","MKDSN1,5/3-5,08","MKDSN 1,5/ 3-5,08 Printklemme",0,,
X3,"MKDSN1,5/2-5,08","MKDSN1,5/2-5,08","MKDSN1,5/2-5,08","MKDSN 1,5/ 2-5,08 Printklemme",14,,
X4,"MKDSN1,5/2-5,08","MKDSN1,5/2-5,08","MKDSN1,5/2-5,08","MKDSN 1,5/ 2-5,08 Printklemme",14,,
