"Qty";"Value";"Device";"Package";"Parts";"Description";"PARTNO";"POPULARITY";"SPICEPREFIX";"TP_SIGNAL_NAME";
"1";"0.1 uF";"C-USC0402";"C0402";"C8";"CAPACITOR, American symbol";"GCM155R71C104KA55J";"16";"C";"";
"4";"10 kOhm";"R-US_R0402";"R0402";"R1, R2, R10, R12";"RESISTOR, American symbol";"RMCF0402FT10K0";"34";"R";"";
"1";"10 uF";"C-USC0402";"C0402";"C6";"CAPACITOR, American symbol";"GRM155R60J106ME05J";"16";"C";"";
"1";"10 uH";"LQW15DN100M00D-ME";"SMD";"L1";"";"LQW15DN100M00D";"";"";"";
"1";"100 kOhm";"R-US_R0402";"R0402";"R3";"RESISTOR, American symbol";"RMCF0402FT100K";"34";"R";"";
"2";"2.2 kOhm";"R-US_R0402";"R0402";"R5, R6";"RESISTOR, American symbol";"RMCF0402JT2K20";"34";"R";"";
"1";"200 pF";"C-USC0402";"C0402";"C4";"CAPACITOR, American symbol";"GCM1555C1H201FA16D";"16";"C";"";
"1";"27 pF";"C-USC0402";"C0402";"C5";"CAPACITOR, American symbol";"GCM1555C1H270JA16D";"16";"C";"";
"4";"4.7 uF";"C-USC0402";"C0402";"C1, C2, C3, C7";"CAPACITOR, American symbol";"GRM155R60J475ME47J";"16";"C";"";
"3";"470 Ohm";"R-US_R0402";"R0402";"R7, R8, R9";"RESISTOR, American symbol";"RMCF0402FT470R";"34";"R";"";
"1";"560 kOhm";"R-US_R0402";"R0402";"R4";"RESISTOR, American symbol";"ERJ-2RKF5603X";"34";"R";"";
"2";"5K1";"R-US_R0402";"R0402";"R11, R13";"RESISTOR, American symbol";"RC0402FR-075K1L";"34";"R";"";
"1";"DRV2605LDGSR";"DRV2605LDGSR";"10-VSSOP";"U2";"";"DRV2605LDGSR";"";"";"";
"1";"L201DS-QEPGBG2S";"L201DS-QEPGBG2S";"SMD";"D";"";"L201DS-QEPGBG2S";"";"";"";
"1";"MCP73831T-2ACI/OT";"MCP73831T-2ACI-OT";"SOT-23-5";"U3";"";"MCP73831T-2ACI/OT";"";"";"";
"2";"SOLDER_PAD";"PADS";"SMD";"BT, M";"";"";"";"";"";
"1";"STM32G4A1KEU6 ";"STM32G4A1KEU6";"32-UFQFPN(5X5)";"MCU1";"";"STM32G4A1KEU6 ";"";"";"";
"1";"TC2030-IDC";"TC2030-IDC-FP";"TC2030-IDC-FP";"J1";"";"TC2030-IDC";"";"";"";
"3";"TL6330AF200Q";"TL6330AF200Q";"SWITCH";"S1, S2, S3";"";"TL6330AF200Q";"";"";"";
"1";"TPS62203DBVR";"TPS62203DBVR";"SOT-23-5";"U1";"";"TPS62203DBVR";"";"";"";
"5";"TPTP07SQ";"TPTP07SQ";"TP07SQ";"TP1, TP2, TP3, TP4, TP5";"Test pad";"";"0";"";"";
"1";"USB4060-30-A";"USB4060-30-A";"USB_C";"USB_C";"";"USB4060-30-A";"";"";"";
