"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"OC_FARNELL";"PARTNO";"POPULARITY";"SPICEPREFIX";
"1";"1 kΩ  0805";"R-US_R0805";"R0805";"R1";"RESISTOR, American symbol";"";"";"RC0805FR-071KL";"85";"R";
"1";"1 kΩ 0805";"R-US_R0805";"R0805";"R2";"RESISTOR, American symbol";"";"";"RC0805FR-071KL";"85";"R";
"2";"10 kΩ  0805";"R-US_R0805";"R0805";"R3, R4";"RESISTOR, American symbol";"";"";"RC0805FR-0710KL ";"85";"R";
"1";"100nF 0805";"C-USC0805";"C0805";"C1";"CAPACITOR, American symbol";"";"";"MA0805XR104K500";"63";"C";
"1";"1729128";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"X1";"MKDSN 1,5/ 2-5,08 Printklemme";"";"";"1729128";"14";"";
"1";"MAX31855KASA+T";"MAX31855KASA+T";"MAX31855KASA+T";"U1";"";"";"";"MAX31855KASA+T";"";"";
"1";"NUCLEO-L452RE";"NUCLEO-L452RE";"NUCLEO-64";"M1";"No existe un outline (Layer Dimension) para esta librería. En su lugar se utilizó una referencia en tDocu.";"";"";"";"";"";
"2";"PH1-01-UA";"PINHD-1X1";"1X01";"JP1, JP2";"PIN HEADER";"";"";"PH1-01-UA";"64";"";
"2";"SKHMQKE010";"SKHMPSE010";"SKHMPXE010";"S1, S2";"6.2 X 6.5mm TACT Switch (SMD)";"";"";"SKHMQKE010";"5";"";
"1";"TLLG4400";"TLLG4400";"LED3MM";"LED2GREEN";"Low Current (2mA) LED 3 mm Tinted Diffused Package color GREEN";"VISHAY SEMICONDUCTOR";"1612435";"TLLG4400";"7";"";
"1";"TLLR4400";"TLLR4400";"LED3MM";"LED1RED";"Low Current (2mA) LED 3 mm Tinted Diffused Package color RED";"VISHAY SEMICONDUCTOR";"1612437";"TLLR4400";"2";"";
