"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PARTNO";"POPULARITY";"SPICEPREFIX";
"1";"";"MA06-1";"MA06-1";"SV1";"PIN HEADER";"";"";"unknown";"unknown";"M20-9750342";"28";"";
"1";"";"PEM2-S24-D12-S";"SIP-5";"U9";"";"";"";"";"";"PEM2-S24-D12-S";"";"";
"1";"";"PQP3-D24-S5-M-TR";"DIP-5";"U3";"";"";"";"";"";"PQP3-D24-S5-M-TR";"";"";
"2";"";"R-US_M0805";"M0805";"R29, R30";"RESISTOR, American symbol";"";"";"";"";"";"45";"R";
"10";"100K";"R-US_M0805";"M0805";"R15, R16, R19, R20, R33, R34, R37, R38, R41, R42";"RESISTOR, American symbol";"";"";"";"";"CR0805-FX-1003ELF";"45";"R";
"1";"100uF";"C-USC0805";"C0805";"C9";"CAPACITOR, American symbol";"";"";"";"";"GRM21BR60J107ME15L";"63";"C";
"2";"10K";"R-US_M0805";"M0805";"R27, R28";"RESISTOR, American symbol";"";"";"";"";"CR0805-FX-1002ELF";"45";"R";
"1";"10uF";"C-USC0805";"C0805";"C14";"CAPACITOR, American symbol";"";"";"";"";"GRM21BC71C106KE11L";"63";"C";
"2";"120K";"R-US_M0805";"M0805";"R22, R26";"RESISTOR, American symbol";"";"";"";"";"CRCW0805120KFKEAC";"45";"R";
"8";"1uF";"C-USC0805";"C0805";"C1, C2, C3, C4, C10, C11, C12, C13";"CAPACITOR, American symbol";"";"";"";"";"GRM219R61H105KA73D";"63";"C";
"1";"270K";"R-US_M0805";"M0805";"R25";"RESISTOR, American symbol";"";"";"";"";"CRCW0805270KFKEAC";"45";"R";
"10";"2M";"R-US_R1206";"R1206";"R2, R3, R4, R5, R6, R7, R8, R9, R10, R11";"RESISTOR, American symbol";"";"";"";"";"RCV12062M00FKEA";"19";"R";
"10";"33K";"R-US_M0805";"M0805";"R13, R14, R17, R18, R31, R32, R35, R36, R39, R40";"RESISTOR, American symbol";"";"";"";"";"CR0805-FX-3302ELF";"45";"R";
"2";"3K3";"R-US_R1206";"R1206";"R1, R12";"RESISTOR, American symbol";"";"";"";"";"ERJ-S08F3301V";"19";"R";
"1";"4.7nF";"C-USC0805";"C0805";"C7";"CAPACITOR, American symbol";"";"";"";"";"0805ZC472KAT2A";"63";"C";
"2";"47nF";"C-USC0805";"C0805";"C5, C6";"CAPACITOR, American symbol";"";"";"";"";"CC0805JRX7R7BB473";"63";"C";
"1";"47uF";"CPOL-US175TMP-0808";"175TMP-0808";"C8";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"HHXC630ARA470MHA0G";"0";"C";
"1";"500K";"R-US_M0805";"M0805";"R21";"RESISTOR, American symbol";"";"";"";"";"CR0805-FX-4993ELF";"45";"R";
"2";"56K";"R-US_M0805";"M0805";"R23, R24";"RESISTOR, American symbol";"";"";"";"";"CR0805-FX-5602ELF";"45";"R";
"2";"ACPL-790B";"ACPL-790B";"DIP-8";"U4, U6";"";"";"";"";"";"ACPL-790B-300E";"";"";
"2";"AP7366";"AP7366";"SOT25";"U1, U2";"";"";"";"";"";"AP7366-W5-7";"";"";
"3";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"X1, X2, X3";"MKDSN 1,5/ 2-5,08 Printklemme";"";"";"";"";"1797952";"14";"";
"1";"MLX91221";"MLX91221";"SOIC-16W";"U7";"";"";"";"";"";"MLX91221KDF-ABF-025-RE";"";"";
"1";"PDSE1-S24-S12-M-TR";"PDSE1-S24-S12-M-TR";"PDSE1-S24-S12-M-TR";"U10";"";"";"";"";"";"PQP3-D24-S5-M-TR";"";"";
"3";"RF1-01A-D-00-75-M";"RF1-01A-D-00-75-M";"BNC";"J1, J2, J3";"";"";"";"";"";"RF1-01A-D-00-75-M";"";"";
"3";"SD0805S020S1R0";"SD0805S020S1R0";"0805";"D1, D2, D3";"";"";"";"";"";"SD0805S020S1R0";"";"";
"2";"TL074";"TL074";"SO-14";"U5, U8";"";"";"";"";"";"TL074CDT";"";"";
