"Qty";"Value";"Device";"Package";"Parts";"Description";"PARTNO";"POPULARITY";"SPICEPREFIX";
"20";"";"TESTPOINT";"TESTPOINT";"P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11, P12, P13, P14, P15, P16, P17, P18, P19, P20";"";"";"";"";
"5";"0.1uF";"C-USC0805";"C0805";"C4, C5, C7, C8, C9";"CAPACITOR, American symbol";"GCM21BR72A104KA37L";"63";"C";
"2";"100K ";"R-US_R0805";"R0805";"R4, R10";"RESISTOR, American symbol";"AT0805FRE07100KL";"85";"R";
"1";"100uF";"C-USC0805";"C0805";"C15";"CAPACITOR, American symbol";"TLJP107M006R5400";"63";"C";
"14";"10K";"R-US_R0805";"R0805";"R1, R7, R11, R14, R15, R16, R17, R18, R19, R21, R22, R23, R24, R25";"RESISTOR, American symbol";"RK73G2ATTD1002F";"85";"R";
"3";"10nF 0603";"C-USC0603";"C0603";"C2, C10, C13";"CAPACITOR, American symbol";"GCM188R72A103KA37D";"37";"C";
"2";"10pF";"C-USC0805";"C0805";"C1, C16";"CAPACITOR, American symbol";"0805D100J101KHT";"63";"C";
"1";"10uF";"C-USC0805";"C0805";"C14";"CAPACITOR, American symbol";"TCTPL1C106M8R";"63";"C";
"2";"16k5";"R-US_R0805";"R0805";"R5, R27";"RESISTOR, American symbol";"ERJ-PB6B1652V";"85";"R";
"17";"1729128";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"X1, X2, X3, X4, X5, X6, X7, X8, X9, X10, X13, X14, X15, X16, X17, X18, X19";"MKDSN 1,5/ 2-5,08 Printklemme";"1729128";"14";"";
"2";"1K ";"R-US_R0805";"R0805";"R2, R9";"RESISTOR, American symbol";"AC0805FR-101KL";"85";"R";
"2";"1k2";"R-US_R0805";"R0805";"R8, R13";"RESISTOR, American symbol";"ESR10EZPF1R20 ";"85";"R";
"3";"1uF";"C-USC0805";"C0805";"C3, C6, C12";"CAPACITOR, American symbol";"GCM21BR71E105KA56L";"63";"C";
"1";"3k7-0603";"R-US_R0603";"R0603";"R6";"RESISTOR, American symbol";"RN73H1JTTD3701B25";"77";"R";
"2";"5K1 ";"R-US_R0805";"R0805";"R3, R12";"RESISTOR, American symbol";"ESR10EZPJ512";"85";"R";
"3";"BZT52-C3V0J";"BZT52-C3V0J-NEXPERIA";"BZT52-C3V0J-NEXPERIA";"U17, U18, U19";"";"BZT52-C3V0J";"";"";
"2";"BZX84C3V3-E3-08";"BZX84C3V3-E3-08_VISHAY";"SOT-23-3";"U4, U7";"";"BZX84C3V3-E3-08";"";"";
"1";"D09P33E4GX00LF";"D09P33E4GX00LF";"JEDEC";"U2";"";"D09P33E4GX00LF";"";"";
"1";"ES2BA-13-F";"ES2BA-13-F";"SMA";"U3";"";"ES2BA-13-F";"";"";
"1";"MAX3221CAE+T";"MAX3221CAE+T-AD";"16-SSOP";"U9";"";"MAX3221CAE+T";"";"";
"2";"MMBT3906T";"MMBT3906T";"SOT-523";"T1, T3";"";"MMBT3906T";"";"";
"1";"NUCLEO-L452RE";"NUCLEO-L452RE";"NUCLEO-64";"M1";"No existe un outline (Layer Dimension) para esta librería. En su lugar se utilizó una referencia en tDocu.";"NUCLEO-L452RE";"";"";
"5";"NVR4003NT3G";"NVR4003NT3-ONSEMI";"SOT-23-3";"U10, U11, U12, U13, U14";"";"NVR4003NT3G";"";"";
"1";"SMAJ15CA";"SMAJ15CA";"DO-214AC(SMA)";"U5";"";"SMAJ15CA";"";"";
"1";"TLV1117-50CKVURG3";"TLV1117-50CKVURG3";"KVU(TO-252)";"U6";"";"TLV1117-50CKVURG3";"";"";
"2";"XTR117AIDRBT";"XTR117AIDRBT-TI";"8-SON";"U1, U8";"";"XTR117AIDRBT";"";"";
"2";"ZXTN2018FTA";"ZXTN2018FTA";"SOT23-EBC";"U15, U16";"";"ZXTN2018FTA";"";"";
