"Qty";"Value";"Device";"Package";"Parts";"Description";"COLOR";"PARTNO";"POPULARITY";"SPICEPREFIX";
"1";"0.1µ";"C-USC0805";"C0805";"C2";"CAPACITOR, American symbol";"";"GCJ21BL81H104KA01L";"63";"C";
"12";"10K";"R-US_R0805";"R0805";"R9, R10, R11, R12, R13, R14, R18, R19, R20, R21, R22, R23";"RESISTOR, American symbol";"";"RC0805JR-1310KL";"85";"R";
"2";"130";"R-US_R0805";"R0805";"R16, R17";"RESISTOR, American symbol";"";"RC0805FR-07130RL";"85";"R";
"4";"130R";"R-US_R0805";"R0805";"R6, R7, R8, R15";"RESISTOR, American symbol";"";"RC0805FR-07130RL";"85";"R";
"3";"1K1";"R-US_R0805";"R0805";"R3, R4, R5";"RESISTOR, American symbol";"";"RC0805FR-071K1L";"85";"R";
"6";"4.7µ";"C-USC0805";"C0805";"C1, C3, C4, C5, C6, C7";"CAPACITOR, American symbol";"";"GRM21BR71C475KE51L";"63";"C";
"2";"5K1";"R-US_R0805";"R0805";"R1, R2";"RESISTOR, American symbol";"";"RC0805FR-075K1L";"85";"R";
"3";"LTST-C150KGKT";"LTST-C150KGKTSMT1206";"1206";"LED1, LED2, LED3";"LED";"VERDE";"LTST-C150KGKT";"20";"";
"3";"LTST-C150KRKT";"LTST-C150KRKTSMT1206";"1206";"LED4, LED5, LED6";"LED";"ROJO";"LTST-C150KRKT";"20";"";
"3";"MCP73830T-2AAI/MYY";"MCP73830T-2AAI/MYY";"6-TDFN(2X2)";"U1, U2, U3";"";"";"MCP73830T-2AAI/MYY";"";"";
"1";"NUCLEO-L452RE";"NUCLEO-L452RE";"NUCLEO-64";"M1";"No existe un outline (Layer Dimension) para esta librería. En su lugar se utilizó una referencia en tDocu.";"";"NUCLEO-L452RE";"";"";
"3";"PTS645SM43SMTR92 LFS";"PTS645SM43SMTR92LFS";"PTS645SM43SMTR92LFS";"BOTON1, BOTON2, BOTON3";"";"";"PTS645SM43SMTR92 LFS";"";"";
"1";"QPC02SXGN-RC";"PINHD-1X2";"1X02";"JP1";"PIN HEADER";"";"QPC02SXGN-RC";"98";"";
"3";"S2B-PH-K-S(LF)(SN)";"S2B-PH-K-S(LF)(SN)";"BULK";"JST1, JST2, JST3";"";"";"S2B-PH-K-S(LF)(SN)";"";"";
"1";"USB4085-GF-A";"USB4085-GF-A";"USB4085-GF-A";"USB-C";"";"";"USB4085-GF-A";"";"";
