"Qty";"Value";"Device";"Package";"Parts";"Description";"PARTNO";"POPULARITY";"SPICEPREFIX";
"2";"";"HX711SOIC127P600X140-16N";"SOIC127P600X140-16N";"U1, U2";"";"HX711";"";"";
"1";"";"NUCLEO-L452RE";"NUCLEO-64";"M1";"No existe un outline (Layer Dimension) para esta librería. En su lugar se utilizó una referencia en tDocu.";"";"";"";
"4";"0.1u";"C-USC0805";"C0805";"C3, C4, C9, C10";"CAPACITOR, American symbol";"";"63";"C";
"4";"100";"R-US_R0805";"R0805";"R3, R4, R7, R8";"RESISTOR, American symbol";"";"85";"R";
"4";"10u";"C-USC0805";"C0805";"C1, C2, C7, C8";"CAPACITOR, American symbol";"";"63";"C";
"1";"1u";"C-USC0805";"C0805";"C5";"CAPACITOR, American symbol";"";"63";"C";
"1";"2.2u";"C-USC0805";"C0805";"C6";"CAPACITOR, American symbol";"";"63";"C";
"2";"203";"R-US_R0805";"R0805";"R1, R5";"RESISTOR, American symbol";"";"85";"R";
"2";"822";"R-US_R0805";"R0805";"R2, R6";"RESISTOR, American symbol";"";"85";"R";
"1";"AP2210N-4.0TRG1";"AP2210N-4.0TRG1";"SOT-23-3";"U3";"";"AP2210N-4.0TRG1";"";"";
"4";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"X1, X2, X3, X4";"MKDSN 1,5/ 2-5,08 Printklemme";"MKDSN1,5/2-5,08";"14";"";
"2";"MMBT4403LT1SMD";"MMBT4403LT1SMD";"SOT23-BEC";"Q1, Q3";"PNP Transistror";"BCR573E6327";"1";"";
